Identifier,Name,Description
test,Service test,Service test
Identifier0,Service Identifier0,Service Identifier0
Identifier1,Service Identifier1,Service Identifier1
Identifier2,Service Identifier2,Service Identifier2
Identifier3,Service Identifier3,Service Identifier3
Identifier4,Service Identifier4,Service Identifier4
Identifier5,Service Identifier5,Service Identifier5
Identifier6,Service Identifier6,Service Identifier6
Identifier7,Service Identifier7,Service Identifier7
Identifier8,Service Identifier8,Service Identifier8
Identifier9,Service Identifier9,Service Identifier9
Identifier10,Service Identifier10,Service Identifier10
Vitam,Equipe projet interminist?rielle Vitam,Equipe projet interminist?rielle Vitam
FRAN_NP_009913,Pr?sidence de Val?ry Giscard d?Estaing,Pr?sidence de Val?ry Giscard d?Estaing
FRAN_NP_009941,"Veil, Simone (1927-2017) ","Veil, Simone (1927-2017) "
producteur1,Service producteur1,Service producteur1
FRAN_NP_050500,Galliffet (famille de) ,Galliffet (famille de) 
FRAN_NP_050770,"Fouch?, Joseph (1759-1820) ","Fouch?, Joseph (1759-1820) "
BBBBBB,Service BBBBBB,Service BBBBBB
BBBBB,BBBBB,une description de service agent
FRAN_NP_050758,"Bernis, Fran?ois-Joachim de Pierres (1715-1794 ; cardinal de) ","Bernis, Fran?ois-Joachim de Pierres (1715-1794 ; cardinal de) "
FRAN_NP_050056,"Enghien, Louis Antoine Henri de Bourbon (duc d') ","Enghien, Louis Antoine Henri de Bourbon (duc d') "
FRAN_NP_005568,France. Minist?re de la Culture et de la Communication. Service interminist?riel des Archives de France (2009-?.) ,France. Minist?re de la Culture et de la Communication. Service interminist?riel des Archives de France (2009-?.) 
ABCDEFG,Service ABCDEFG,Service ABCDEFG
OAIAJJAZ,Service OAIAJJAZ,Service OAIAJJAZ
ZAJFKNNDSC,Service ZAJFKNNDSC,Service ZAJFKNNDSC
Service_producteur,Service producteur1,Service producteur1
SOC_ARCHEO_TOURRAINE,Soci?t? arch?ologique de Touraine,Soci?t? arch?ologique de Touraine
EEEEEE,Service EEEEEE,Service EEEEEE
FRAN_NP_009734,"Cabinet de Michel Mercier, garde des Sceaux, ministre de la Justice et des Libert?s ","Cabinet de Michel Mercier, garde des Sceaux, ministre de la Justice et des Libert?s "
FRAN_NP_050392,"S?gur, Louis-Philippe de (1753-1830) ","S?gur, Louis-Philippe de (1753-1830) "
FRAN_NP_050313,"Clemenceau, Georges (1841-1929) ","Clemenceau, Georges (1841-1929) "
FRAN_NP_051314,France. Comit? F?odal (1789-1792) ,France. Comit? F?odal (1789-1792) 
FR_ORG_AGEN,Originating Agency,Originating Agency
FRAAA,Service FRAAA,Service FRAAA
CCCCC,Service CCCCC,Service CCCCC
RATP,R?gie autonome des transports parisiens,R?gie autonome des transports parisiens
ASP,Agences des services de paiement,Agences des services de paiement
producteur2,Service producteur2,Service producteur2
FRAN_NP_000001,Pr?sidence de la R?publique ,Pr?sidence de la R?publique 
FRAN_NP_005061,Archives nationales (France ; 1790-....),Archives nationales (France ; 1790-....)
FRAN_NP_009915,Pr?sidence de Jacques Chirac,Pr?sidence de Jacques Chirac
KARINE_GILBERT,"Gilbert, Karine","Gilbert, Karine"
MICHEL_MERCIER,"Mercier, Michel","Mercier, Michel"
DGFIP,Direction g?n?rale des finances publiques,Direction g?n?rale des finances publiques
FRAN_NP_005164,Sous-direction des monuments historiques (1979-1998) ,Sous-direction des monuments historiques (1979-1998) 
SOC_ARCHEO_TOURAINE,Soci?t? arch?ologique de Touraine,Soci?t? arch?ologique de Touraine
Service_versant,Service versant,Service versant
XXXXXXX,Service XXXXXXX,Service XXXXXXX
YYYYYYY,"Balladur, ?douard ","Balladur, ?douard "
FRAN_NP_009196,Bureau des personnels techniques et d'enseignement (minist?re de la Culture et de la Communication) ,Bureau des personnels techniques et d'enseignement (minist?re de la Culture et de la Communication) 
FRAN_NP_005761,une description de service agent,une description de service agent
FFFFFF,Service FFFFFFF,Service FFFFFFF
FRAN_NP_005479,Mus?e national Picasso ? Paris ,Mus?e national Picasso ? Paris 
FRAN_NP_000992,Bureau des affaires immobili?res de l'administration territoriale et de la s?curit? civile (minist?re de l'Int?rieur) ,Bureau des affaires immobili?res de l'administration territoriale et de la s?curit? civile (minist?re de l'Int?rieur) 
FRAN_NP_000002,Premier ministre ,Premier ministre 
FRAN_NP_000013,Minist?re des Affaires sociales et de la Solidarit? nationale ,Minist?re des Affaires sociales et de la Solidarit? nationale 
FRAN_NP_000015,Minist?re des Droits de la femme ,Minist?re des Droits de la femme 
FRAN_NP_000008,Minist?re de l'Int?rieur ,Minist?re de l'Int?rieur 
FRAN_NP_000017,?cole des hautes ?tudes en sciences sociales ,?cole des hautes ?tudes en sciences sociales 
FRAN_NP_000024,Minist?re des Relations avec le Parlement ,Minist?re des Relations avec le Parlement 
FRAN_NP_000018,Cabinet du ministre charg? de la Fonction publique ,Cabinet du ministre charg? de la Fonction publique 
FRAN_NP_000023,Minist?re du Plan et de l'Am?nagement du territoire ,Minist?re du Plan et de l'Am?nagement du territoire 
FRAN_NP_000010,"Cabinet de Louis Jacquinot, ministre d'?tat ","Cabinet de Louis Jacquinot, ministre d'?tat "
FRAN_NP_000019,"Cabinet d'Alain Peyrefitte, ministre de l'Information ","Cabinet d'Alain Peyrefitte, ministre de l'Information "
FRAN_NP_000020,Minist?re de la Jeunesse et des Sports ,Minist?re de la Jeunesse et des Sports 
FRAN_NP_000021,"Cabinet d'Edgard Pisani, ministre charg? de la Nouvelle-Cal?donie ","Cabinet d'Edgard Pisani, ministre charg? de la Nouvelle-Cal?donie "
FRAN_NP_000022,Minist?re des Outre-mer II ,Minist?re des Outre-mer II 
FRAN_NP_000009,Minist?re de la Justice ,Minist?re de la Justice 
FRAN_NP_050634_elim,"Penthi?vre, Louis Jean Marie de Bourbon (1725-1793 ; duc de)","Penthi?vre, Louis Jean Marie de Bourbon (1725-1793 ; duc de)"
FRAN_NP_050635_elim,"Toulouse, Louis-Alexandre de Bourbon (1678-1737 ; comte de)","Toulouse, Louis-Alexandre de Bourbon (1678-1737 ; comte de)"
FRAN_NP_051587_elim,"Marie-Caroline (duchesse de Berry ; 1798-1870)","Marie-Caroline (duchesse de Berry ; 1798-1870)"
FRAN_NP_050632_elim,"Louis-Philippe Ier (roi des Fran?ais ; 1773-1850)","Louis-Philippe Ier (roi des Fran?ais ; 1773-1850)"
SNCF_ELIM,Soci?t? nationale des chemins de fer fran?ais (?limination),Soci?t? nationale des chemins de fer fran?ais (?limination)
RATP_ELIM,R?gie autonome des transports parisiens (?limination),R?gie autonome des transports parisiens (?limination)
AG-TNR0001,agencyTNR,une description de service agent TNR0001
AG-TNR0002,agencyTNR,une description de service agent TNR0002
VitamTNR,VitamTNR,une description de service agent VitamTNR